유형,구분,시행,휴게소명,노선,주소,사업시작년도,사업종료년도,총면적(m2),주차(면),총사업비(백만원)
유형,구분,시행,휴게소명,노선,주소,사업시작년도,사업종료년도,총면적(m2),주차(면),총사업비(백만원)
고속도로,운영중,한국도로공사,매송(시흥),서해안,경기도 화성시 매송면 서해안고속도로 316,2017,2018,"87,552",130,"20,978"
고속도로,운영중,한국도로공사,매송(목포),서해안,경기도 화성시 매송면 서해안고속도로 315,2017,2018,"80,395",147,"20,978"
항만,운영중,평택청,평택, ,경기도 포승읍 하한모길 229(만호리 668),2015,2016,"16,830",177,"4,600"
국도,운영중,김해시,김해 진영, ,경상남도 김해시 진영읍 김해대로 245,2015,2020,52416,391,15090
고속도로,운영중,한국도로공사,고성(통영),통영대전,경남 고성군 대가면 통영대전고속도로 29,2004,2005,42121,188,20646
항만,운영중,BPA,부산신항, ,경상남도 창원시 진해구 신항북로 320,2007,2011,52242,400,14600
고속도로,운영중,한국도로공사,칠곡(부산),경부,경북 칠곡 왜관 경부고속도로 159,1996,1997,85560,313,11908
고속도로,운영중,한국도로공사,영천(대구),대구포항,경북 영천 임고 운주로 791,2003,2004,81214,299,10700
고속도로,운영중,한국도로공사,영천(포항),대구포항,경북 영천 임고 운주로 777,2003,2004,74189,266,10700
고속도로,운영중,한국도로공사,문경(창원),중부내륙,경북 문경 중부내륙고속도로 173,2003,2004,73575,169,16648
고속도로,운영중,한국도로공사,문경(양평),중부내륙,경북 문경 중부내륙고속도로 174,2003,2004,58347,177,14774
고속도로,운영중,한국도로공사,김천(부산),경부,경상북도 김천시 농소면 경부고속도로 193,2008,2010,40012,193,14522
고속도로,운영중,한국도로공사,김천(서울),경부,경상북도 김천시 농소면 경부고속도로 194,2007,2008,39930,193,14400
고속도로,운영중,한국도로공사,성주(창원),중부내륙,경북 성주군 초전면 중부내륙고속도로 97,2017,2018,38631,180,9247
고속도로,운영중,한국도로공사,성주(양평),중부내륙,경북 성주군 초전면 중부내륙고속도로 98,2017,2018,38848,180,9611
고속도로,운영중,한국도로공사,경주(부산),경부,경북 경주시 내남면 경부고속도로 59,2003,2004,72564,225,10300
고속도로,운영중,한국도로공사,신탄진(서울),경부,대전 대덕구 산업단지로 27,1998,1999,63846,283,15358
항만,운영중,부산시,부산항감만, ,부산광역시 남구 신선로 168,2005,2008,14850,108,16250
항만,운영중,BPA,부산항용당, ,부산광역시 남구 용당동 168-1,2011,2012,42955,371,10500
항만,운영중,BPA,부산신항남컨, ,부산광역시 강서구 신항남로 507(성북동 1521),2015,2016,34650,345,8000
항만,운영중,UPA,울산신항, ,울산광역시 남구 신항로716번길 13,2017,2021,24045,219,5400
국도,운영중,울산시,울산남구, ,울산광역시 남구 상개동 50,2006,2011,49166,454,16382
국도,운영중,울산시,울산북구, ,울산광역시 북구 산업로 1515(신천동 643),2013,2017,41969,377,19938
항만,운영중,IPA,인천항, ,인천광역시 중구 신흥동 3가 70,2005,2007,58235,549,10300
항만,운영중,YGPA,광양항, ,전라남도 광양시 도이동 781,2005,2006,26697,120,5200
항만,운영중,YGPA,광양항 황금, ,전라남도 광양시 황금동 항만대로 200(황금동 1108-1),2015,2016,33000,362,5400
국도,운영중,전남도,여수, ,전라남도 여수시 여수산단로 140,2006,2014,47066,396,23400
고속도로,운영중,한국도로공사,이서(천안),호남,전라북도 완주군 이서면 호남고속도로 162,2008,2010,31350,91,19462
고속도로,운영중,한국도로공사,이서(순천),호남,전라북도 완주군 이서면 호남고속도로 161,2008,2010,27720,90,19930
고속도로,운영중,한국도로공사,입장(서울),경부,충남 천안 서북 입장 연곡길 407,1996,1997,104133,313,9162
고속도로,운영중,한국도로공사,옥천(만남),경부,충북 옥천 옥천 중앙로 135,2011,2012,27468,169,7600
고속도로,운영중,한국도로공사,옥산(부산),경부,충청북도 청주시 흥덕구 옥산면 경부고속도로 309,2002,2003,53901,277,9270
고속도로,운영중,한국도로공사,청주(서울),경부,충청북도 청주시 흥덕구 옥산면 경부고속도로 318,2003,2003,88196,292,9800
고속도로,운영중,한국도로공사,옥천(부산),경부,충청북도 옥천군 옥천읍 서대구일로 265-19,1998,1999,9033,145,9330
항만,공사중,BPA,부산신항웅동, ,경상남도 창원시 진해구 신항6로 12,2021,2022,74864,495,14166
